Start Time (s),Text
2429.46,[Music]
2440.84,[Music]
2459.16,we are technically right on time um very
2462.359,very thrilled to introduce Manish to you
2464.52,he also is uh dedicating himself double
2467.4,duty today he's going to be doing a um
2471.0,Round Table discussion this afternoon
2472.64,we're going to have three different
2473.88,discussions at 3 pm right after the
2476.88,panel at 2 pm in the meantime Welcome to
2479.76,our let's give a warm welcome to our
2481.48,first Speaker
2485.2,unish hi everybody um I like to not
2488.599,stand at the podium can you all hear me
2491.079,okay yes okay in the back though really
2494.119,can you hear me okay all right all right
2496.359,you can give me the wobbly head if not
2497.839,you be like man I can't hear you all
2499.52,right so very excited to be here I've
2502.8,been thinking about giving this talk for
2506.88,years and you know usually I don't know
2509.56,if you submit talks when you submit
2511.56,talks yeah if you don't speak into the
2513.96,mic ah they can't record ah okay here I
2517.4,am at the podium so
2519.04,boring we're at every other conference
2521.48,now um so I've been thinking about
2524.16,giving this talk for years
2526.119,because
2528.359,uh I I've had some really tough times
2532.04,I've learned some hard lessons and I
2534.92,felt like if I kept those to myself
2537.359,other people are learning those hard
2538.72,lessons on their own I don't say that
2541.559,with you know great pride I say with a
2544.2,lot of humility let me try and save
2546.28,people some pain
2547.68,every time I experience one of those I
2549.119,think Yep this is going to go in the
2550.44,talk so you are getting the first
2553.04,unvarnished version of this talk which
2555.64,is as much
2557.72,about the title of the talk how to
2559.92,succeed in a role that didn't exist as
2562.0,it is me trying to distill some
2564.0,hard-earned lessons from Mostly failures
2568.76,this is a talk mostly about distillation
2571.4,of failures and it is really about
2574.079,resilience besides is the place I wanted
2576.64,to do it
2578.04,because this conference is about
2579.8,Community is about learning from each
2581.96,other and in effect is very much about
2586.319,this kind of resilience this kind of
2587.839,Storytelling so the first thing
2590.92,is who am I um when I think about it's
2595.44,such a like existential question who are
2597.16,you what do you do what have you
2600.8,done why are you here those are all like
2604.559,big existential questions but I'm going
2606.559,to try and answer answer those for
2609.04,you I'm going to answer them in reverse
2611.359,order because the I don't know why I'm
2613.88,here really or who I am but I'll tell
2616.24,you what I've
2618.28,done I've worked in a lot of different
2621.0,domains of trying to help people and
2623.28,organizations understand
2625.88,uncertainty that's what I've done done a
2629.04,lot of different domains terrorism fraud
2631.24,geopolitics cyber investigations
2633.28,critical infrastructure supply chain I
2635.319,don't say that with bragado doio I say
2636.839,that like it spans a variety I've worked
2638.64,on nuclear policy a lot of different
2640.52,areas which means I've been new a
2643.119,lot new to an industry new to a field
2649.359,unproven I'm here because as I said
2652.28,before I really want to share these
2654.96,hard-earned lessons with you in a way
2658.079,that I hope is very actionable for you
2660.28,either today or someday
2664.92,soon so who am I one of you I'm someone
2668.599,who is focused on community uh which is
2673.76,I assume why you all are here too I'm
2675.92,someone who cares about people I'm a
2679.2,relational
2680.24,person thank you
2683.4,and I'm someone who has only
2687.0,succeeded because other people have
2689.44,helped
2690.2,me all those domains I talked about I'm
2692.8,not experts in those
2694.76,domains and I entered into them not as
2697.119,experts the only reason I was able to do
2699.599,those jobs the only reason I was able to
2700.92,do a role that didn't exist before is
2703.64,because the community of people around
2705.119,me that I kind of joke but not really
2708.44,I'm not smart I know smart
2715.559,people let's see if I can do
2718.76,this okay all
2720.96,right yes maybe no okay no worries yes
2724.72,haha all right so here's what we're
2726.48,going to cover
2728.72,what does it mean to have a new role I
2731.64,want to Define that very clearly and how
2733.559,do you identify it if you're
2735.359,interviewing for it or you might be in
2737.599,one and not even recognize that it's a
2739.28,new role second what are the likely
2741.92,pitfalls how do you manage those that's
2743.599,where I want to spend the bulk of the
2744.88,time and then what you must do early and
2748.96,how to learn quickly the end of this is
2752.319,unless you want to go through a very
2754.8,painful experience like I have multiple
2757.88,times that's the dott dot dot that
2759.8,follows this so that is those are some
2763.48,core things and I'm not going to hide
2765.8,this I'm not one of those people that
2766.72,puts all the beautiful stuff and
2767.92,wonderful stuff at the end like all this
2769.44,is going to be pretty much up
2771.48,front so let's talk about what it means
2774.359,to have a new
2777.8,role um this is pretty I think I mean
2782.2,it's always true in technology and
2784.8,perhaps in cyber that there's something
2786.559,new
